,user,date,upvote,score,comment
10,AugustoEduardo,"Sep 23, 2021",22,10,"Después de volver al cine y ver dos películas que no cumplieron mis expectativas, esperaba que esta de Marvel me decepcionara.. pero fue todo lo contrario.Buena acción, buen humor, buena historia y un protagonista que te puedes identificarDespués de volver al cine y ver dos películas que no cumplieron mis expectativas, esperaba que esta de Marvel me decepcionara.. pero fue todo lo contrario.Buena acción, buen humor, buena historia y un protagonista que te puedes identificar muy bien.Sin duda una joya de película para el genero de superhéroes. "
11,GianPierre,"Sep 23, 2021",21,10,By now this has become my favorite movie in the Marvel Cinematic Universe.A marvel of a movie.
12,Habibiehakim,"Sep 26, 2021",18,8,"For an MCU movie, i've seen better, and the movie still not on the level like Iron Man, Captain America, Thor, Black Panther, Ant Man, and even Black Widow the recent one before this that everybody hate or think it just an alright film but iFor an MCU movie, i've seen better, and the movie still not on the level like Iron Man, Captain America, Thor, Black Panther, Ant Man, and even Black Widow the recent one before this that everybody hate or think it just an alright film but i found it way better than this and it's a perfect movie (in terms of an MCU superhero solo movie), Shang-Chi And The Legend Of The Ten Rings is still an exciting film with a dazzling special and visual effects, incredible action packed, and amazing performance, though the second part/place in the movie didn't work perfectly, and Shang-Chi And The Legend Of The Ten Rings is not one of my favorite and probably the least in the franchise and character but overall movie is still great. "
13,Dreambigmich,"Sep 25, 2021",18,8,"The movie was awesome, the character was likeable and the fighting was well choreograph.Director did a great job."
14,jabezcreed,"Sep 23, 2021",17,10,"Certainly not breaking new ground, but had everything I wanted in a new Marvel movie - fun (not potty jokes), new worlds, new people, personal drama, a compelling villain, good score, colorful scenery, and exciting action scenes."
15,MrPajamas,"Sep 26, 2021",17,7,"I'm not gonna lie. The movie didn't impress me much based on the trailer. I still wanted to see it because, well, Marvel movies are just fine and I believed it would be good. And it was. It was. The story, in my opinion, wasn't as good as itI'm not gonna lie. The movie didn't impress me much based on the trailer. I still wanted to see it because, well, Marvel movies are just fine and I believed it would be good. And it was. It was. The story, in my opinion, wasn't as good as it usually is with Marvel. Not that Marvel has any masterful storylines, but it just wasn't as good in my opinion as some of the other movies that have come out from the studio in the past. What was more than good, on the other hand, was the music in places. But what was without a doubt the best and what Marvel has always been able to do and probably always will be able to do is action. The action scenes here are awesome, although then they are not very frequent. There are a few times when the pace slows down and we wait for some of the fights. Once it does though, you're in for an epic CGI load of fighting that I devoured. There's still the occasional quirk thrown in here and there, as is usually the case with Marvel movies. To sum it up. For me, a good movie that I recommend, and classically to Marvel fans. "
16,iCampoRamil,"Oct  5, 2021",17,7,"No me esperaba lo de esta película para nada, está súper chula, es muy novedosa, dentro de lo que es.La acción es lo mejor, así te lo digo, tiene combates con coreografías súper chulas, haciendo muchos homenajes al estilo asiático,No me esperaba lo de esta película para nada, está súper chula, es muy novedosa, dentro de lo que es.La acción es lo mejor, así te lo digo, tiene combates con coreografías súper chulas, haciendo muchos homenajes al estilo asiático, evidentemente, pero de verdad que muy logradas esas escenas.También tiene algunos de esos momentos tan épicos y molones que recordarás para siempre, súper espectaculares, tanto en lo visual como en la propia acción en sí.· Cosas buenas: sobre todo la acción y las coreografías, es en lo que más destaca, pero también otras cosas como el humor, muy bien medido, y eso que pensé que la iban a liar por esa parte, los escenarios son muy sorprendentes y chulos, y eso, en general está muy cuidada en todos sus aspectos.· Cosas malas: puede que haya momentos que se alarguen demasiado, quizás porque quieran construir una buena trama, y al ser un personaje no tan conocido, quieren darle bola, pero sobran momentos. Además, el final quizás es demasiado grandioso para ser la película introductoria.· Conclusión: lo dicho, es una película súuuper cuidada, en todo momento, supuestamente era la ""menor"" de las 3 que iban a salir este año (Spider-Man y Eternos) pero se ha convertido en una de las grandes películas de Marvel Studios, me atrevería a decir, que es de las mejores de introducción de personajes. "
17,roselenaperalta,"Sep 25, 2021",16,10,"Kore made no tokoro, soreha māberushinematikkuyunibāsu no fēzu 4 no saikō no eigadesu."
18,Rexlox,"Sep 28, 2021",15,10,Of the best superhero movies in history.I do not understand why China does not want to broadcast this film than their country.
19,Marbrockstar,"Sep  3, 2021",40,10,"A truly special ride.  Only (ridiculously small) quibble was with a few of the effects, but most of the effects were amazing. Cast was wonderful - Simu Liu is a STAR, Awkwafina and Tony Leung were incendiary, the entire rest of the cast wereA truly special ride.  Only (ridiculously small) quibble was with a few of the effects, but most of the effects were amazing. Cast was wonderful - Simu Liu is a STAR, Awkwafina and Tony Leung were incendiary, the entire rest of the cast were perfect.  The action is so far beyond most other action movies, it’s almost playing a different sport.  The heart of the movie, though - the struggle to find one’s self amidst family turmoil and the expectations of father and the loss and grief embodied beautifully in the movieTHAT is why the movie is truly special. "
20,capxwinter,"Sep  4, 2021",39,10,"i've never seen something so beautiful. incredible story, even greater characters, a lot of family drama, stunning fighting scenes and majestic animals.one of marvel's greatest so farps: simu liu and awkwafina are THE duo"
21,koddy_12,"Sep  4, 2021",35,10,esta buena la pelicula y la disfrute mucho espero que le llega muy bien en taquilla
22,Shaq2hot,"Sep  4, 2021",35,10,This movie is adventurous and wonderful Simu Liu doesn’t great and the cast as well
23,enter_thedragon,"Sep  3, 2021",34,8,A great addition to the Marvel Cinematic Universe. I loved the character conversations and moments. The fights throughout the film were incredible to watch. What kept me from rating this film any higher was the direction toward the end of theA great addition to the Marvel Cinematic Universe. I loved the character conversations and moments. The fights throughout the film were incredible to watch. What kept me from rating this film any higher was the direction toward the end of the film. Overall this was a thrilling adventure and I hope to see more of Simu Liu in action soon. 
24,Panchogul,"Sep  5, 2021",33,10,"Si es que existe algo malo en esta película, yo no lo he visto, para mí fue una auténtica bestia a nivel audiovisual, a nivel narrativo está fabulosa, en ningún momento decae en el ritmo y siempre está en constante movimiento y desarrollo,Si es que existe algo malo en esta película, yo no lo he visto, para mí fue una auténtica bestia a nivel audiovisual, a nivel narrativo está fabulosa, en ningún momento decae en el ritmo y siempre está en constante movimiento y desarrollo, las actuaciones están muy bien también, Simi Liu hizo un gran trabajo y me encantó su personaje, por otro lado está Awkwafina, quien fue probablemente la que aportó todo el sazón y humor a la película, sin ella el resultado final habría sido muy diferente. "
25,manningn15,"Sep  7, 2021",31,10,"Shang-Chi and the Legend of the Ten Rings was just a masterpiece, every second was visually gorgeous and it's amazing to Asian Culture being explored and represented in the media more and more especially in a genre that doesn't. The fightShang-Chi and the Legend of the Ten Rings was just a masterpiece, every second was visually gorgeous and it's amazing to Asian Culture being explored and represented in the media more and more especially in a genre that doesn't. The fight choreography and action scenes were impeccable, just so clean and awesome; maybe the best fight choreography I've ever seen and some of the best action scenes ever. The performances from Simu Liu, Meng'er Zhang, Awkwafina, Tony Leung, Michelle Yeoh, and Ben Kingsley were outstanding. The visual effects were phenomenal from the Great Protector to the Shishi to the Dweller-in-Darkness, just some of the best visual effects I've ever seen. The writing was stupendous, the screenplay and story were just superb and the character development especially with Shang-Chi was terrific. The costumes were spectacular. The makeup and hairstyling was great. Also the music was great. An A+ movie and it is definitely in my top 3 favorite movies I've ever seen now. "
26,Nik_Zizza,"Sep  6, 2021",29,9,"One of the best origin movie on MCU and i love so much the character of Shang Chi and Katy, I also enjoyed The Mandarin, the villain. recommended"
27,MetacriticOnur,"Sep 24, 2021",28,8,excellent[ ek-suh-luhnt ]adjectivepossessing outstanding quality or superior merit; remarkably good.[Watched in Cinema]
28,MrSirPaul,"Sep  8, 2021",26,8,The movie was very enjoyable. Doesn't quite top the bus scene. Cast is all good. Not really any woke stuff. Overall worth the watch. The ending is a little disappointing. Stay for two end credit scenes.
29,Xenomorph_kills,"Sep  8, 2021",25,8,"This movie's biggest strength is the action. It is so well choreographed and so well captured in camera that it is unlike any movie I've seen. That aside, the characters are solid and give depth to the family dynamic at the heart of theThis movie's biggest strength is the action. It is so well choreographed and so well captured in camera that it is unlike any movie I've seen. That aside, the characters are solid and give depth to the family dynamic at the heart of the story. Where it fumbles is in the third act that feels like it contrasts a lot that it tried to set up in order to have an over the top fantastical element to the show. Overall very enjoyable and is probably the most appealing Marvel movie since Black Panther. "
30,SpiderDrew,"Sep 13, 2021",24,10,"This movie was amazing! I highly recommend everybody watch this as it is imo the best mcu movie yet. Also the fact that they brought Ben Kingsley back was great as well. While the 2nd half didn't have as much martial arts action, the fights were still good. Wenwu was an amazing villain as you can really feel how much he wants to see his wife back and sort of sympathize with him. Awkwafina was also really good in this movie as she is in most movies she is in. The action and drama were all top notch and so were the characters. All of the main cast members were good and overall nothing in the movie was bad. They also played Hotel California a couple of time so that's a plus lol. "
31,Milap,"Sep  3, 2021",46,10,Great one by marvel
32,LowQuality,"Sep 12, 2021",23,9,"Shang Chi is an awesome MCU movie, an awesome action movie, an awesome martial arts movie, and an awesome family dynamic movie. The fight choreography is flawless and the story is very well done. It is very much worth the risk of seeing in theatres."
33,Ratieo,"Sep 12, 2021",23,10,"I cried, my girlfriend cried, we loved it! It might just be my favorite Marvel movie."
34,marcmyworks,"Sep 12, 2021",22,9,"From the trailer of Shang-Chi, I believed it would be another underdeveloped origin movie with a lackluster villain, but much to my surprise it surpassed my expectations. The film not only delivers on its action, humour and heart but also hasFrom the trailer of Shang-Chi, I believed it would be another underdeveloped origin movie with a lackluster villain, but much to my surprise it surpassed my expectations. The film not only delivers on its action, humour and heart but also has fleshed out characters who are deeper than ideas of just good and evil. Overall, it is the best origin movie since 2008′s Iron Man. I’m excited to see where Marvel goes with this new hero. "
35,Kai82,"Sep 15, 2021",22,9,"It has well choreographed fights, lovable characters and a good story garnered with humor. Also it corrects one of the mayor disappointments from a previous movie with a satisfying explanation and turns it into a strength. Lets start at theIt has well choreographed fights, lovable characters and a good story garnered with humor. Also it corrects one of the mayor disappointments from a previous movie with a satisfying explanation and turns it into a strength. Lets start at the beginning. Since Marvel phase 4 started you hear a lot of people say that the movies are in or will decline. This movie is the counter argument. It is refreshing, entertaining and introduces new characters I want to see more of. It was also the kind of martial arts movie my friends and I missed in recent years. The story starts with a flashback thousand (or thousands?) years ago where Wenwu finds the ten rings which gave him eternal youth and so much power that he can be considered to be a god among humans. He creates the ten rings organization and becomes a really powerful ruler but operates mostly in the shadows. However his hunger for power is never satisfied. After he hears the legend of the hidden village Ta Lo where the inhabitants have mystical power he is determined to acquire this power for himself. However he will get something different and far more precious than he could have imagined. In the present Shaun works with his best friend Kathy as car valets when their lives are changed forever. I stop here with the story set up to avoid spoilers. The story itself is extremely good for an introduction movie. It gets the small and big things right. Main key elements are family, heritage, loss, finding your way or purpose in life and dealing with the past. They manage to mix the story with the characters in a way that one enhance the other. Lets continue with the characters: Simu Liu as Shaun is a great main actor. He delivers every aspect of his character and should be praised. Then we have Awkwafina as Kathy who steals the show in many scenes and is jut amazingly good. Those two together are a force to be recognized. Tony Leug is a legendary actor and his performance as Xu Wenwu is excellent. This is also valid for Michelle Yeoh. Ben Kingsley is the hidden gem of the movie and so enjoyable. Meng’er Zhang as Xu Xialing and Fala Chen as Ying Li deliver a good performance and won us easily over. Special praise to the right hand men Ronny Chieng as Jon Jon and Florian Munteanu as Razor Fist. I almost forgot Benedict Wong. Small screentime but amazing performance. The cast is fantastic and I wont replace anyone. The fights are amazing too. The first one alone should win you over with ease. The choreography is excellent and the camera works well to enhanced it while avoiding all the mistakes other movies make. Many modern movies fail with shaky camera, poor zooming (to close, bad angles, to far away or bad lighting) and uninspired ideas. Here they shine in many fights. The special effects are excellent as required per Marvel standard. Was and is never and issue. The sets and practical effects look beautiful and create an immersive atmosphere. Lastly I want to praise the humor. There are a lot of good scenes and especially a post credit scene is a must watch. Overall this was much better than expected and I heard good things about the movie before watching it. It slightly misses a 10/10 for me but is definitely a must see. "
36,Heywoody,"Sep 17, 2021",22,7,"All Marvel movies are silly, unrealistic, redundant power fantasies. But, watching the haters lose their minds and cry about this movie is well worth it. They are online crying about how it offended them because it had too many girls in it!!!All Marvel movies are silly, unrealistic, redundant power fantasies. But, watching the haters lose their minds and cry about this movie is well worth it. They are online crying about how it offended them because it had too many girls in it!!!  Keep up the good work Disney!!!  lol "
37,alejandro970,"Sep 17, 2021",21,9,"I do not know if it is true that the superhero genre is saturated or exhausted; how true it is here knows how to combine this genre with martial arts and Chinese mysticism with intelligent and dynamic action scenes. Judging from the extraI do not know if it is true that the superhero genre is saturated or exhausted; how true it is here knows how to combine this genre with martial arts and Chinese mysticism with intelligent and dynamic action scenes. Judging from the extra credits, what should we expect? "
38,ragesteel,"Sep 22, 2021",21,7,"Good movie. Fun, funny, good action, likeable characters, decent plot. Though it feels disconnected from the MCU that's not necessarily a bad thing - it stands on its own. Unfortunately this is another movie where ever woman can out fight aGood movie. Fun, funny, good action, likeable characters, decent plot. Though it feels disconnected from the MCU that's not necessarily a bad thing - it stands on its own. Unfortunately this is another movie where ever woman can out fight a man. And there's no black men in this movie - hmm....the left isnt complaining about this, maybe because its an Asian movie. Outside the stupid wokeness this one is worth watching. "
39,keonbreez,"Sep 17, 2021",21,8,great movie with great characters. Really peaked my interest. excited for the next phase of the mcu
40,Ronedaz,"Sep 10, 2021",21,7,"Although I'm not the biggest Marvel fan, I always go to the movies to see the popular new releases. So I decided to go and see Shang-Chi last week with some friends. I was not disappointed at all! Of course , it's kind of different if you'reAlthough I'm not the biggest Marvel fan, I always go to the movies to see the popular new releases. So I decided to go and see Shang-Chi last week with some friends. I was not disappointed at all! Of course , it's kind of different if you're going to compare it to some other Marvel movies, but it's really interesting! I really enjoyed the soundtrack aswell. "
41,gerardomandolo,"Sep 14, 2021",21,10,This movie got me interested in the Marvel Cinematic Universe.Undoubtedly something that was impossible for me.
42,Sam1357,"Sep  3, 2021",40,10,The action was amazing it was not like the same old marvel movie the acting was perfect and I laughed watching it good movie
43,Deepak387,"Sep 10, 2021",20,9,Shang chi is a visual masterpiece with engaging and impactful storyline. This is the best introduction a Marvel superhero could ever have.
44,Lopliplo,"Sep  8, 2021",20,8,"It isnt that big its not gonna kill you if you dont see it, but its alround good.The after credit scene doesnt worth to wait."
45,LetoAtreides82,"Sep  3, 2021",38,10,"Had a great time watching this one, it felt so different from the other MCU movies and yet it was very enjoyable.  Even though I don't understand Chinese i'm glad some of the dialogue is in Chinese I love the way it sounds.  The fight scenesHad a great time watching this one, it felt so different from the other MCU movies and yet it was very enjoyable.  Even though I don't understand Chinese i'm glad some of the dialogue is in Chinese I love the way it sounds.  The fight scenes are so cool and and I love the fantasy settings.  The cast is great Katy is so funny and loveable and I'm hoping to see more of her and Shang-Shi and Xialing. I'd give this movie a 9.7 and round it up to 10. "
46,lol123tiger,"Sep  3, 2021",38,8,"Action was amazing , visuals were stunning plot had some slows but overall it was an emotional joy ride for me, I cried twice cause I could release to the story in some ways.Sim Lu has charm and potential. He’s a very down to earth characterAction was amazing , visuals were stunning plot had some slows but overall it was an emotional joy ride for me, I cried twice cause I could release to the story in some ways.Sim Lu has charm and potential. He’s a very down to earth character which is good. But the MVP in Tony Leung’s Mandarin is outstanding. "
47,Dsros96,"Sep 24, 2021",19,10,"Probably the best presentation movie of the whole MCU. With tiny bits connected to the rest of the Universe, Shang Chi & his story is introduced amazingly, with humour, consistency & depth. Marvel's homage to Asian culture is amazing &Probably the best presentation movie of the whole MCU. With tiny bits connected to the rest of the Universe, Shang Chi & his story is introduced amazingly, with humour, consistency & depth. Marvel's homage to Asian culture is amazing & respectful. The cinematography, as usual, is a highlight. "
48,jorgeperalta00,"Sep 15, 2021",19,10,There must be a reason not to love this movie?We are literally facing one of the best of the superhero genre.
49,chua_yj,"Sep  4, 2021",36,10,"Great performances, some of the best action sequences and a story filled with heart."
50,bshu89,"Sep 27, 2021",18,10,"It’s been a long time since a story has gripped me like Shang-Chi and the Legend of the Ten Rings has. Shang-Chi is a beautiful story that blends action, romance, and high stakes in ways we haven’t seen the MCU do yet. The relationshipsIt’s been a long time since a story has gripped me like Shang-Chi and the Legend of the Ten Rings has. Shang-Chi is a beautiful story that blends action, romance, and high stakes in ways we haven’t seen the MCU do yet. The relationships between characters is very believable which makes the stakes that much greater. The action sequences are unlike anything in the history of the MCU, yet not forgetting to add that MCU flair from time to time. By the time I left the auditorium, I was already ready for Round 2. 10/10. I just can’t believe how good this movie really is. "
51,amiru1isme,"Sep  4, 2021",35,8,Shang-Chi and the Legend of the Ten Rings is very formulaic by the acting and storytelling yet has very groundbreaking action sequences and stunning visuals.
52,PersonaTime,"Sep  3, 2021",34,9,"Post-EndGame, what I look for in the ""Super Hero"" film genre are matters of the Family/Friendships/Relationships with certain background characters having a life of there own, and making comments as the main characters deal with a problem.Post-EndGame, what I look for in the ""Super Hero"" film genre are matters of the Family/Friendships/Relationships with certain background characters having a life of there own, and making comments as the main characters deal with a problem. Also expanding this universe with diversity is always welcomed. This will be my 3rd time watching this film. The last time I did this was with End Game. So, is this movie any good? Hmm. "
53,ArVilla,"Sep  4, 2021",34,9,"The fight scenes were well choreographed and stylish leaving me at the edge of my seat with every set piece fight/battle. I've noticed that there are people on here reviewing extremely negatively based on single elements, which I don'tThe fight scenes were well choreographed and stylish leaving me at the edge of my seat with every set piece fight/battle. I've noticed that there are people on here reviewing extremely negatively based on single elements, which I don't understand. I loved the performances from the entire cast. All around fun movie to watch. "
54,Saucedreviews,"Sep  4, 2021",34,10,The most visually beautiful marvel movie intermixed with the best fight scenes. Great story.
55,AHEMLOVER,"Sep  5, 2021",34,10,It was an amazing movie. The fighting choreography was amazing. The storyline was also good. Really recommend watching it. As always Marvel doesn't disappoint.
56,Gameslayer666,"Sep  5, 2021",34,10,"Best Marvel movie I have ever seen! The fights is amazing.  I really like Tony Leung, he is not evil, just wanna save his wife."
57,Brent_Marchant,"Sep  5, 2021",33,8,"For a film that I wasn't especially looking forward to, this latest offering from the Marvel Universe certainly surprised me. While the trailer appeared to bill this as little more than a grandiose martial arts movie, director Destin DanielFor a film that I wasn't especially looking forward to, this latest offering from the Marvel Universe certainly surprised me. While the trailer appeared to bill this as little more than a grandiose martial arts movie, director Destin Daniel Cretton's latest has an epic quality about it, presenting a story that's mythic in nature and infused with themes related to morality, personal evolution and coming into one's own, qualities not often found in releases like this. The picture is essentially an origin story piece in the same vein as ""Captain Marvel"" and ""Black Panther,"" with a narrative that mirrors both of these cinematic predecessors but with better overall execution, especially in the writing and pacing. Besides its captivating story and well-orchestrated (though generally not overdone) action sequences, this offering features ample comic relief, unexpected touches of whimsy and surprisingly good performances, especially from Awkwafina, Michelle Yeoh and Ben Kingsley. While the film's closing act is admittedly a little too drawn out, that's a small price to pay for everything else it has to offer. ""Shang-chi"" is easily one of the best films of the summer season and one of the finest additions to the Marvel Universe to come along in quite some time. Action-adventure fans will surely enjoy it, but even those generally less drawn to this genre will likely come away from this one having had a good, uplifting and entertaining time. "
58,barryrss,"Sep  4, 2021",33,10,"Its Perfect demais, puta q pariu bixo, um dos melhores da marvel com crtz absoluta"
59,OlilovesMovies,"Sep  4, 2021",32,9,"Honestly, I was concerned going into this film, as someone who has adored the marvel cinematic universe up to this point, I didn’t know how they would be able to pull off a new phase with so many new IP’s coming into play and so many of the beloved favourites being finished with. After the relatively underwhelming Black Widow, and trailers that didn’t do anything to get me excited, I went into SCatLotTR (good lord that’s a long title..) with reservations, however, I’m delighted to say, they were absolutely unnecessary, Shang Chi is an absolute blast, and delivers so much more than the trailer led on.With genuinely likeable characters, solid visuals, an excellent soundtrack and a plot that, though familiar, is delivered in such a way as to never leave the audience bored or underwhelmed, the film had me captivated from start to finish. Though I don’t intend to spoil major plot points, I will say, the Kaiju-like finale was unexpected but a genuine spectacle! This in honestly one of the strongest Marvel origin story films yet, up there with Iron Man and Spider-Man Homecoming. Go see it and keep supporting cinema! "
60,Diptanshu,"Sep  4, 2021",32,9,"The Origin Movie Marvel studios should make from now on! It was badass Origin since Ironman.its a straight 2 hr epic felt like too fast paced and only Movie which felt there was no connection to Thanos like bigger plot although the Wong crossover and credits were connected to bigger plot of phase 4 yet it felt like its own Movie which is pretty rare in a marvel movie.the characters were well structured and plot was amazing although once we know little the story felt predictable still the execution was legendary.the humor and sarcastic tone throughout the movie specially Akwafina at start and Ben Kingsley at last was dead hilarious special mention to that bus scene live caster he was another level fun to watch.the Marvel's usual overdo of CGI in all movies was amazingly handled in this movie the CGI specially visuals and Pokemon like creatures and at last dragon was stunningly amazing on top of that on visuals pov it's a Masterpiece.the score was brilliant.the Action was Top notch.Coming to Awesome scenes starting with the bus fight it was Jaw droppingly amazing fight the badass score enhances the scene though.The plane scene of beef and vegetarian was Racist as f,the Wong and abomination fight was unexpectedly awesome and the building fight with teacher was awesome although the teacher of Shang chi and some other characters story felt like very short but impactful the Traver Slattery character was hilariously Satisfying specially the ending pretending as dead acting was Brilliantly Sarcastic.the whole village introduction and creatures were Mind-blowing from visual standpoint and the war at last was dope as hell.the dragons fight was brilliant and the way it ends for Shang chi and his conflict with father was amazing.Overall the    theme of ""Goal"" in movie was amazingly handled.the ending was brilliantly satisfying and the post credits were hype train it was shockingly amazing.The Wong's presence felt short and sweet Overall whole movie was a Coolest Origin and it's a entertainingly Amazing Movie! "
61,BeardedYoda,"Sep  6, 2021",32,8,"I'm happy to say that Shang-Chi is an enjoyable and heartfelt film that at times completely amazed me. The films first half was a little rocky and slow, but the latter half of the film really picks up the pace and the movie becomes somethingI'm happy to say that Shang-Chi is an enjoyable and heartfelt film that at times completely amazed me. The films first half was a little rocky and slow, but the latter half of the film really picks up the pace and the movie becomes something completely unique compared to other MCU films. The MCU definitely needed some fresh concepts, and Shang-Chi has plenty. If you want to see some well done fights, awesome visuals, and compelling characters, including a villain that is one of the MCU's best, watch Shang-Chi. "
62,Stream2BigScree,"Sep  3, 2021",32,8,"The Marvel Cinematic Universe continues to expand and become more diverse with this weekend's release of Shang-Chi and the Legend of the Ten Rings. It is the first MCU theatrical release with a predominantly Asian cast. While it surely fitsThe Marvel Cinematic Universe continues to expand and become more diverse with this weekend's release of Shang-Chi and the Legend of the Ten Rings. It is the first MCU theatrical release with a predominantly Asian cast. While it surely fits into the overall expanded universe, I can't tell you how it fits into whatever phase this is, but it is essentially Shang-Chi's origin story and, in that sense, it kind of can stand alone. The question is whether its worth trekking to the theater for all the action and drama - here's how we see it.Shang-Chi also known as ""Shaun"" (Simu Liu) has been an unassuming valet for years paling around with his best friend, Katy (Awkwafina) in San Francisco. On one fateful day as Shang-Chi and Katy are on their way to work, they get attacked by a group of thugs from the Ten Rings led by the goon, Razor Fist. Shang-Chi fends off the attackers in an impressive action sequence, but he exposes what he had otherwise hidden from Katy - kung-fu prowess and a history connected to those men that attacked him. From there, Shang-Chi and Katy set out on a quest to confront his past, protect his sister, and defeat his diabolical father who has had overwhelming power for a thousand years thanks to the titular Ten Rings.For most of these MCU films, what are we really looking for? Action. Comedy. Spectacle. A tie-in to the expanded universe. Shang-Chi delivers on most of that.Action - as a newcomer to the MCU, Simu Liu does a good job of setting up who Shang-Chi is and how he might fit into the larger group. The early fight sequences are exciting primarily because of Liu's athletic abilities. The kinetic energy brought to those set pieces are good enough to jolt some awake. Also, there is a fight between Tony Leung and Fala Chen early on that is a must see - it is quite awe-inspiring. When it comes to the MCU, the climactic battles are usually a mish-mosh and over-the-top, fortunately, this one is no different.Comedy - Liu also has good chemistry with Awkwafina - although the comedy is a bit lacking considering Awkwafina's reputation. There were not really any laugh out loud moments, but the easy tone of the film overall makes it generally enjoyable. It feels like they were trying for it, but it didn't hit the mark.Spectacle - the special effects here are pretty good. The power of the Ten Rings is interesting and the way they work into the action sequences works really well. The production design of Ta Lo is really beautiful to look at. Of course, Marvel Studios used their Marvel money to make the setting stand out. I can't say it is Black Panther impressive, but it was good nonetheless.In some ways, the movie gets a bit too stereotypical with Asian folks and dragons and never aging and then turning into dragons. There also is a tinge of this movie hearkening too close to Mulan in look and feel as if Disney was like we have some content we can save money on for this. Either way, I'm glad that Disney has opened minds to diversity with their live action films. Let's keep it up!Long story short, Marvel doesn't really make missteps and Shang-Chi and the Legend of the Ten Rings is no different. The movie is a bit too long and Simu Liu might not have found his comedic legs yet. And still the movie is stereotypically enjoyable and well done by the MCU. I wonder how this will fit into the next phases of Marvel but until then I'll pick up a big box of popcorn as I ponder. "
